unix,low,high,open,close,volume,date,vol_fiat
1610928000,207.5,238.83,216.29,225.8,33465.47,2021-01-18,7556503.126000001
1610841600,200.2,226.72,206.8,216.61,32563.389,2021-01-17,7053555.69129
1610755200,200.03,220.0,202.64,206.85,28396.5,2021-01-16,5873816.024999999
1610668800,186.71,217.45,214.95,202.43,37746.683,2021-01-15,7641061.03969
1610582400,200.91,225.0,211.16,214.52,38136.851,2021-01-14,8181117.276520001
1610496000,174.34,218.0,183.38,211.12,61493.446,2021-01-13,12982496.31952
1610409600,162.25,201.63,168.75,183.61,55150.774,2021-01-12,10126233.61414
1610323200,147.14,196.96,195.09,168.45,74148.079,2021-01-11,12490243.90755
1610236800,165.29,209.89,180.63,194.67,88317.207,2021-01-10,17192710.68669
1610150400,161.51,186.63,165.44,180.63,46499.827,2021-01-09,8399263.751009999
1610064000,153.06,181.85,172.78,165.73,55230.659,2021-01-08,9153377.116069999
1609977600,165.81,193.12,184.52,172.56,73199.835,2021-01-07,12631363.527600002
1609891200,159.98,187.14,162.08,184.52,62911.855,2021-01-06,11608495.484600002
1609804800,146.54,166.48,151.35,162.02,43664.459,2021-01-05,7074515.647180001
1609718400,137.76,162.34,147.12,151.21,49754.484,2021-01-04,7523375.52564
1609632000,135.58,151.91,136.58,147.14,36845.1,2021-01-03,5421388.0139999995
1609545600,134.91,147.95,145.93,136.66,28037.015,2021-01-02,3831538.4699
1609459200,140.15,155.24,149.27,145.97,26815.06,2021-01-01,3914194.3082000003
1609372800,142.49,157.2,157.16,149.27,30972.415,2020-12-31,4623252.38705
1609286400,138.11,159.14,139.55,157.17,46319.154,2020-12-30,7279981.43418
1609200000,130.0,146.18,143.37,139.33,35321.719,2020-12-29,4921375.10827
1609113600,129.79,143.7,131.39,143.37,24612.604,2020-12-28,3528709.03548
1609027200,127.77,140.0,129.83,131.29,30342.036,2020-12-27,3983605.9064399996
1608940800,127.87,138.64,137.66,129.97,22497.79,2020-12-26,2924037.7663000003
1608854400,134.0,143.44,136.81,137.71,13515.674,2020-12-25,1861243.4665400002
1608768000,125.84,137.79,129.54,136.62,22266.321,2020-12-24,3042024.77502
1608681600,121.44,149.09,145.17,129.54,39643.857,2020-12-23,5135465.23578
1608595200,135.61,148.87,141.79,145.35,20420.03,2020-12-22,2968051.3604999995
1608508800,140.0,155.63,153.67,141.71,27297.351,2020-12-21,3868307.61021
1608422400,151.27,162.78,155.92,153.7,25989.728,2020-12-20,3994621.1935999994
1608336000,154.48,165.32,160.39,155.94,26553.137,2020-12-19,4140696.1837799996
1608249600,150.33,178.0,177.52,160.41,54499.531,2020-12-18,8742269.76771
1608163200,152.01,179.24,155.47,177.36,72095.609,2020-12-17,12786877.212240001
1608076800,147.5,157.68,150.0,155.5,45755.118,2020-12-16,7114920.849
1607990400,146.5,154.3,153.09,150.0,30908.514,2020-12-15,4636277.1
1607904000,143.55,160.45,147.21,153.07,39469.306,2020-12-14,6041566.669419999
1607817600,140.36,153.19,144.6,147.39,25218.932,2020-12-13,3717018.3874799996
1607731200,141.3,153.69,142.44,144.59,34308.588,2020-12-12,4960678.73892
1607644800,137.54,150.63,149.19,142.55,52302.951,2020-12-11,7455785.665050001
1607558400,147.84,166.16,164.69,149.17,37698.77,2020-12-10,5623525.520899999
1607472000,145.43,171.53,155.34,164.69,102011.616,2020-12-09,16800293.03904
1607385600,148.77,180.0,149.97,155.44,196859.91,2020-12-08,30599904.4104
1607299200,134.57,151.22,137.23,149.94,37956.472,2020-12-07,5691193.41168
1607212800,132.85,144.38,143.9,137.17,20601.905,2020-12-06,2825963.3088499997
1607126400,125.14,145.0,127.2,144.02,39791.88,2020-12-05,5730826.5576
1607040000,124.95,148.06,131.81,127.21,107600.906,2020-12-04,13687911.25226
1606953600,112.6,138.0,113.85,131.81,88721.272,2020-12-03,11694350.86232
1606867200,104.23,114.98,105.05,113.86,29910.795,2020-12-02,3405643.1187
