unix,low,high,open,close,volume,date,vol_fiat
1614124800,0.954,1.1888,1.0058,1.0615,87367735,2021-02-24,92740850.70250002
1614038400,0.8365,1.1513,1.144,1.0059,150822961,2021-02-23,151712816.4699
1613952000,0.9294,1.3201,1.308,1.144,113772666,2021-02-22,130155929.90399998
1613865600,1.2637,1.3565,1.3128,1.3087,33855661,2021-02-21,44306903.5507
1613779200,1.2398,1.4958,1.3721,1.3128,68596672,2021-02-20,90053711.0016
1613692800,1.3,1.4297,1.3989,1.3721,44591585,2021-02-19,61184113.778500006
1613606400,1.35,1.453,1.3689,1.3988,46332176,2021-02-18,64809447.7888
1613520000,1.2,1.4224,1.3144,1.3684,66700798,2021-02-17,91273371.9832
1613433600,1.2664,1.4691,1.3565,1.3141,61960262,2021-02-16,81421980.2942
1613347200,1.1928,1.5476,1.4727,1.3571,113382470,2021-02-15,153871350.037
1613260800,1.4036,1.6907,1.675,1.4734,68934330,2021-02-14,101567841.822
1613174400,1.35,1.8,1.7227,1.674,110123706,2021-02-13,184347083.84399998
1613088000,1.1765,1.8585,1.2395,1.7221,161976329,2021-02-12,278939436.1709
1613001600,1.0319,1.3063,1.033,1.2396,124551158,2021-02-11,154393615.4568
1612915200,0.9177,1.05,1.0307,1.0326,65724527,2021-02-10,67867146.5802
1612828800,0.96,1.0812,1.0067,1.0303,69140714,2021-02-09,71235677.6342
1612742400,0.8405,1.0989,0.8461,1.0066,103871783,2021-02-08,104557336.76779999
1612656000,0.77,0.8776,0.8138,0.8462,53153384,2021-02-07,44978393.5408
1612569600,0.7367,0.865,0.8356,0.8135,62074473,2021-02-06,50497583.7855
1612483200,0.7001,0.8932,0.7065,0.836,86891431,2021-02-05,72641236.316
1612396800,0.675,0.7628,0.7466,0.7072,58626904,2021-02-04,41460946.5088
1612310400,0.6477,0.7534,0.6515,0.7465,47430368,2021-02-03,35406769.712000005
1612224000,0.625,0.6735,0.6442,0.6515,32610762,2021-02-02,21245911.443
1612137600,0.6172,0.6674,0.6523,0.644,40381741,2021-02-01,26005841.204
1612051200,0.6211,0.7002,0.666,0.6532,47344142,2021-01-31,30925193.5544
1611964800,0.6137,0.704,0.637,0.6654,63434913,2021-01-30,42209591.1102
1611878400,0.5522,0.6888,0.5609,0.6367,67101035,2021-01-29,42723228.984500006
1611792000,0.5268,0.5812,0.5419,0.561,30258003,2021-01-28,16974739.683000002
1611705600,0.5248,0.6026,0.6018,0.542,36507200,2021-01-27,19786902.400000002
1611619200,0.5355,0.62,0.5557,0.6012,41884538,2021-01-26,25180984.2456
1611532800,0.5501,0.6341,0.5631,0.5562,46148993,2021-01-25,25668069.906600002
1611446400,0.5481,0.5848,0.557,0.5631,31500578,2021-01-24,17737975.471800003
1611360000,0.5021,0.5723,0.5087,0.5571,37273348,2021-01-23,20764982.1708
1611273600,0.4251,0.5398,0.4615,0.5085,37971899,2021-01-22,19308710.6415
1611187200,0.4487,0.55,0.5487,0.4616,36076820,2021-01-21,16653060.112
1611100800,0.485,0.5498,0.5214,0.5486,29011009,2021-01-20,15915439.5374
1611014400,0.5152,0.574,0.5666,0.5211,29888785,2021-01-19,15575045.8635
1610928000,0.5415,0.6069,0.5867,0.567,41218687,2021-01-18,23370995.529
1610841600,0.4828,0.5889,0.5186,0.5874,44467315,2021-01-17,26120100.831
1610755200,0.4834,0.55,0.4865,0.5189,50695332,2021-01-16,26305807.774800003
1610668800,0.425,0.498,0.4558,0.4866,46981062,2021-01-15,22860984.769199997
1610582400,0.4296,0.4672,0.4502,0.4557,21006992,2021-01-14,9572886.2544
1610496000,0.3802,0.453,0.3992,0.4505,24835910,2021-01-13,11188577.455
1610409600,0.3906,0.4346,0.4179,0.3989,30750423,2021-01-12,12266343.7347
1610323200,0.3701,0.4605,0.4575,0.4178,58417827,2021-01-11,24406968.1206
1610236800,0.41,0.5159,0.4864,0.4575,49546109,2021-01-10,22667344.8675
1610150400,0.4364,0.495,0.4557,0.4868,37023765,2021-01-09,18023168.802
1610064000,0.4111,0.4881,0.4624,0.4557,45385940,2021-01-08,20682372.858
1609977600,0.4335,0.52,0.5126,0.4615,55823324,2021-01-07,25762464.026
1609891200,0.4572,0.5344,0.4804,0.513,74912404,2021-01-06,38430063.252000004
1609804800,0.4033,0.496,0.4474,0.4807,95491653,2021-01-05,45902837.597100005
1609718400,0.3676,0.4627,0.4262,0.4495,64466304,2021-01-04,28977603.648000002
